account,sector,office_location
Acme Corporation,technolgy,United States
Betasoloin,medical,United States
Betatech,medical,Kenya
Bioholding,medical,Philipines
Bioplex,medical,United States
Blackzim,retail,United States
Bluth Company,technolgy,United States
Bubba Gump,software,United States
Cancity,retail,United States
Cheers,entertainment,United States
Codehow,software,United States
Condax,medical,United States
Conecom,technolgy,United States
Dalttechnology,software,United States
dambase,marketing,United States
Domzoom,entertainment,United States
Doncon,technolgy,United States
Donquadtech,technolgy,United States
Dontechi,software,United States
Donware,marketing,United States
Fasehatice,retail,United States
Faxquote,telecommunications,United States
Finhigh,finance,United States
Finjob,employment,United States
Funholding,finance,United States
Ganjaflex,retail,Japan
Gekko & Co,retail,United States
Genco Pura Olive Oil Company,retail,Italy
Globex Corporation,technolgy,Norway
Gogozoom,telecommunications,United States
Golddex,finance,United States
Goodsilron,marketing,United States
Green-Plus,services,United States
Groovestreet,retail,United States
Hatfan,services,United States
Hottechi,technolgy,Korea
Initech,telecommunications,United States
Inity,marketing,United States
Isdom,medical,United States
Iselectrics,technolgy,United States
J-Texon,retail,United States
Kan-code,software,United States
Kinnamplus,retail,United States
Konex,technolgy,United States
Konmatfix,marketing,United States
Labdrill,medical,United States
Lexiqvolax,medical,United States
Massive Dynamic,entertainment,United States
Mathtouch,marketing,Jordan
Nam-zim,services,Brazil
Newex,services,Germany
Ontomedia,employment,United States
Opentech,finance,United States
Plexzap,retail,United States
Plusstrip,entertainment,United States
Plussunin,retail,United States
Rangreen,technolgy,Panama
Rantouch,telecommunications,United States
Ron-tech,medical,United States
Rundofase,technolgy,United States
Scotfind,software,United States
Scottech,marketing,United States
Silis,medical,United States
Singletechno,retail,United States
Sonron,telecommunications,United States
Stanredtax,finance,United States
Statholdings,employment,United States
Streethex,retail,Belgium
Sumace,retail,Romania
Sunnamplex,marketing,Poland
The New York Inquirer,medical,United States
Toughzap,retail,United States
Treequote,telecommunications,United States
Umbrella Corporation,finance,United States
Vehement Capital Partners,finance,United States
Warephase,services,United States
Xx-holding,finance,United States
Xx-zobam,entertainment,United States
Y-corporation,employment,United States
Yearin,retail,United States
Zathunicon,retail,United States
Zencorporation,technolgy,China
Zoomit,entertainment,United States
Zotware,software,United States
Zumgoity,medical,United States
